target,positive_count,valid_log_loss
glutamate_receptor_antagonist,367,0.4995982815517753
adrenergic_receptor_antagonist,360,0.4617118144004032
sodium_channel_inhibitor,267,0.4411726628679509
dopamine_receptor_antagonist,424,0.4396908489850701
acetylcholine_receptor_antagonist,301,0.4153340059998742
serotonin_receptor_antagonist,404,0.40706435763528154
calcium_channel_blocker,281,0.40034240654126324
dna_inhibitor,402,0.3972534881245069
cyclooxygenase_inhibitor,435,0.3960488092340863
phosphodiesterase_inhibitor,264,0.3407464189307805
histamine_receptor_antagonist,241,0.3272945781459703
serotonin_receptor_agonist,236,0.32224038606069977
adrenergic_receptor_agonist,270,0.30790855461135386
bacterial_cell_wall_synthesis_inhibitor,192,0.29633859781004396
acetylcholine_receptor_agonist,190,0.2432673399078467
gaba_receptor_antagonist,165,0.23738927345453956
estrogen_receptor_agonist,158,0.18994301618760265
dopamine_receptor_agonist,121,0.14710221137904725
cytochrome_p450_inhibitor,104,0.13676835040061572
nfkb_inhibitor,832,0.1333980210330579
cc_chemokine_receptor_antagonist,102,0.13194104897573242
bacterial_dna_inhibitor,115,0.12727159252138745
gaba_receptor_agonist,106,0.12336779672533897
potassium_channel_antagonist,98,0.11640110687399066
adenosine_receptor_antagonist,96,0.10588348912563662
opioid_receptor_antagonist,96,0.10546637820830401
monoamine_oxidase_inhibitor,85,0.09913250527420694
androgen_receptor_antagonist,89,0.09731949137208733
anesthetic_-_local,80,0.09502634027693996
progesterone_receptor_agonist,119,0.09493060895640724
vegfr_inhibitor,170,0.08642520220215341
acetylcholinesterase_inhibitor,73,0.08537821219191863
bacterial_dna_gyrase_inhibitor,89,0.08449782223824535
prostanoid_receptor_antagonist,84,0.08262803908016912
flt3_inhibitor,279,0.07517955344515373
glutamate_receptor_agonist,74,0.07299023753753284
tyrosine_kinase_inhibitor,73,0.07291537435690729
atpase_inhibitor,97,0.07213068817922857
pi3k_inhibitor,151,0.06779092529169624
membrane_integrity_inhibitor,74,0.06703838500694256
protein_synthesis_inhibitor,103,0.06306328394669998
antioxidant,73,0.05972377702481547
immunosuppressant,73,0.05710032095927943
bacterial_50s_ribosomal_subunit_inhibitor,80,0.056416826733722614
anti-inflammatory,73,0.05614718511350091
ppar_receptor_agonist,115,0.05552175281101225
benzodiazepine_receptor_agonist,67,0.054548583797178064
leukotriene_receptor_antagonist,62,0.05245433680487231
opioid_receptor_agonist,61,0.05038131088195211
pdgfr_inhibitor,297,0.05017816539945543
radiopaque_medium,56,0.049873991842156976
tubulin_inhibitor,316,0.04984652400626403
lipoxygenase_inhibitor,61,0.049669864508545394
hcv_inhibitor,72,0.049469670267551495
bacterial_30s_ribosomal_subunit_inhibitor,60,0.048454292603559365
histamine_receptor_agonist,59,0.048159030477053735
tachykinin_antagonist,60,0.047555735910565944
mucolytic_agent,48,0.04611841034679072
hiv_inhibitor,72,0.04332788806804624
cannabinoid_receptor_antagonist,55,0.04273131453978721
protein_kinase_inhibitor,48,0.040936902339181076
cdk_inhibitor,340,0.04064115446330703
kit_inhibitor,273,0.040417934500193306
potassium_channel_activator,55,0.039055894714478
cholesterol_inhibitor,48,0.038891352538198996
parp_inhibitor,61,0.03834566909038497
mtor_inhibitor,130,0.03797603697303162
cholinergic_receptor_antagonist,54,0.03757062664881982
orexin_receptor_antagonist,37,0.03676000002865304
cannabinoid_receptor_agonist,42,0.0362931269949882
chelating_agent,54,0.03535547167159226
aromatase_inhibitor,47,0.03495308706089687
egfr_inhibitor,336,0.03492317380489199
prostaglandin_inhibitor,36,0.033102048248274375
angiogenesis_inhibitor,36,0.031504258255092274
trpv_antagonist,48,0.031146172420758473
adenosine_receptor_agonist,54,0.030149133069574376
chloride_channel_blocker,42,0.029797907593030557
androgen_receptor_agonist,48,0.029393941413458732
dna_alkylating_agent,48,0.02903748106481481
src_inhibitor,71,0.029036144245695044
apoptosis_stimulant,49,0.029009957698374625
integrin_inhibitor,42,0.028764898597171157
insulin_sensitizer,51,0.02824299792724648
estrogen_receptor_antagonist,48,0.028133065246443836
antibiotic,43,0.027715248835106242
serotonin_reuptake_inhibitor,44,0.02739204071041623
sigma_receptor_antagonist,36,0.02720232323899373
akt_inhibitor,66,0.027065129235722393
neuropeptide_receptor_antagonist,37,0.026568951805902977
bromodomain_inhibitor,68,0.026462551521281245
bacterial_antifolate,36,0.02491666156222941
antiprotozoal,36,0.024292656152362976
corticosteroid_agonist,36,0.02314444428412312
imidazoline_receptor_agonist,31,0.022720198174237146
glucocorticoid_receptor_agonist,266,0.022355634050865707
tnf_inhibitor,36,0.021996848239536026
insulin_secretagogue,30,0.0217628583267998
angiotensin_receptor_antagonist,37,0.02167768846761228
aurora_kinase_inhibitor,96,0.021060547483006092
tlr_agonist,30,0.0207680627083949
gsk_inhibitor,60,0.0204346446574262
p38_mapk_inhibitor,62,0.02026808522661543
carbonic_anhydrase_inhibitor,36,0.019680375751789107
ppar_receptor_antagonist,30,0.01953439709325589
thymidylate_synthase_inhibitor,37,0.019269220079141572
ribonucleoside_reductase_inhibitor,37,0.01910257577042339
nitric_oxide_synthase_inhibitor,26,0.018790564586615186
smoothened_receptor_antagonist,25,0.01853669473162236
faah_inhibitor,36,0.018176685450501093
hmgcr_inhibitor,283,0.01808656076949815
topoisomerase_inhibitor,127,0.017408805067593694
pkc_inhibitor,31,0.016434728237940954
sigma_receptor_agonist,36,0.0158968507565976
fgfr_inhibitor,50,0.015798863874299685
mek_inhibitor,72,0.015751598935646285
jak_inhibitor,92,0.015511222330372164
fungal_squalene_epoxidase_inhibitor,23,0.015089023600948435
wnt_inhibitor,30,0.014915874522360494
nitric_oxide_donor,26,0.014284301489869854
hdac_inhibitor,106,0.013324810868309825
rna_polymerase_inhibitor,25,0.013289795666167335
casein_kinase_inhibitor,36,0.013012139961324902
p-glycoprotein_inhibitor,24,0.012423051404374613
antiviral,23,0.012146313251023395
alk_inhibitor,42,0.012091411660262612
sphingosine_receptor_agonist,25,0.011807047356186918
mineralocorticoid_receptor_antagonist,25,0.011661722108409413
fatty_acid_receptor_agonist,25,0.011596709654104531
dihydrofolate_reductase_inhibitor,36,0.011515848546284712
btk_inhibitor,29,0.011245552643924734
beta_amyloid_inhibitor,24,0.011049989788387268
acat_inhibitor,24,0.010961991821528079
pdk_inhibitor,18,0.010806601748075767
phospholipase_inhibitor,25,0.010558978471069264
free_radical_scavenger,18,0.010318807850205973
analgesic,12,0.010215894089464203
vitamin_b,26,0.010105701079899053
rho_associated_kinase_inhibitor,35,0.00990785497364821
retinoid_receptor_agonist,67,0.009873477404158143
bcr-abl_inhibitor,38,0.009674969464381246
hsp_inhibitor,93,0.009438972077093863
igf-1_inhibitor,37,0.009324694207942916
gamma_secretase_inhibitor,56,0.00923218089823477
dipeptidyl_peptidase_inhibitor,25,0.009193787460192648
thrombin_inhibitor,19,0.009175773215520213
caspase_activator,18,0.009093987600868415
cck_receptor_antagonist,18,0.008771197581576066
5-alpha_reductase_inhibitor,17,0.008558748235915934
11-beta-hsd1_inhibitor,18,0.008431673465884916
protein_tyrosine_kinase_inhibitor,19,0.008258675418025035
bcl_inhibitor,31,0.008136288637792354
lipase_inhibitor,12,0.007900529896757425
monoacylglycerol_lipase_inhibitor,12,0.007796050449176202
transient_receptor_potential_channel_antagonist,18,0.007650011362513617
catechol_o_methyltransferase_inhibitor,12,0.007410665050919063
atp-sensitive_potassium_channel_antagonist,1,0.007251475203635406
antimalarial,18,0.007235403202122494
histone_lysine_methyltransferase_inhibitor,32,0.007182447788293098
ras_gtpase_inhibitor,12,0.007119090511183876
monopolar_spindle_1_kinase_inhibitor,18,0.007112921902967271
ikk_inhibitor,30,0.0070325488448639995
anticonvulsant,12,0.006226438070922806
nrf2_activator,18,0.006226379328528871
raf_inhibitor,223,0.0061902062870763785
ampk_activator,12,0.006160875742300409
syk_inhibitor,19,0.0057877763389895965
leukotriene_inhibitor,6,0.005756177885478822
coagulation_factor_inhibitor,6,0.00570150185649301
antihistamine,12,0.005484531266080101
trpv_agonist,25,0.005431692106727945
progesterone_receptor_antagonist,18,0.005184190984284038
antifungal,13,0.004928214829858702
diuretic,6,0.0044855574605761755
mdm_inhibitor,31,0.004467544500307613
atr_kinase_inhibitor,19,0.0044014087780796145
tgf-beta_receptor_inhibitor,30,0.004318114722907251
glutamate_inhibitor,13,0.004280936243642642
elastase_inhibitor,6,0.004208761351234788
steroid,6,0.004188197896115923
norepinephrine_reuptake_inhibitor,7,0.0041845571381856185
vitamin_d_receptor_agonist,39,0.00409748353933611
gonadotropin_receptor_agonist,18,0.0040305373060769015
tlr_antagonist,7,0.0035721339746478246
atp_synthase_inhibitor,12,0.0031527218281681793
nicotinic_receptor_agonist,6,0.002642290880937151
calcineurin_inhibitor,6,0.002318709522615534
antiarrhythmic,6,0.002191915182665333
laxative,6,0.0020556654902019124
histone_lysine_demethylase_inhibitor,24,0.0019423244805164195
chk_inhibitor,24,0.0018467147497406955
focal_adhesion_kinase_inhibitor,18,0.0016884579263879678
autotaxin_inhibitor,6,0.0015311266703481885
atm_kinase_inhibitor,6,0.0015020021276321023
protein_phosphatase_inhibitor,6,0.001353261517685825
adenylyl_cyclase_activator,12,0.001293647566728543
lxr_agonist,6,0.0012559093216840075
retinoid_receptor_antagonist,6,0.001196547297777101
bacterial_membrane_integrity_inhibitor,7,0.0010658119693936993
farnesyltransferase_inhibitor,18,0.000986516163314334
nitric_oxide_production_inhibitor,12,0.0009381856484760487
proteasome_inhibitor,726,0.0008721268161612536
ubiquitin_specific_protease_inhibitor,6,0.000727846660780882
tropomyosin_receptor_kinase_inhibitor,6,0.0007008103501345887
aldehyde_dehydrogenase_inhibitor,7,0.0004236790316873449
erbb2_inhibitor,1,0.00038874795419658665
